TORG,GROUP,PRIMARY,TOPS,GTD,UCDP-GTD.dif,UCDP,MAROB.ORGID,MAROB.GRP-NUM,MAR.GRP,YRFIRST,YRLAST,TOPS.YR1,GTD.YR1,UCDP.YR1,GTD.YRLST,UCDP.YRLST,HBASE,TOPS-ISO,GTD-ISO,UCDP-ISO,MAROB-ISO,RGN.CODE,HBASE.CC
T1,SALAFI ABU-BAKR AL-SIDDIQ ARMY,1,TP4453,G2601,0,0,0,0,,2003,2010,2004,2006,,2010,,IRQ,IRQ,IRQ,,,MIDDLE EAST & NORTH AFRICA,645
T1,ABU BAKR AL-SIDDIQ BRIGADES,0,TP4453,G2601,0,0,0,0,,2003,2010,2004,2006,,2010,,IRQ,IRQ,IRQ,,,MIDDLE EAST & NORTH AFRICA,645
T1,ABU BAKR AL-SIDDIQ FUNDAMENTALIST BRIGADES,0,TP4453,G2601,0,0,0,0,,2003,2010,2004,2006,,2010,,IRQ,IRQ,IRQ,,,MIDDLE EAST & NORTH AFRICA,645
T1,ABU BAKR AL-SIDDIQ FUNDAMENTALIST BRIGADES (ABSB),0,TP4453,G2601,0,0,0,0,,2003,2010,2004,2006,,2010,,IRQ,IRQ,IRQ,,,MIDDLE EAST & NORTH AFRICA,645
T1,SALAFIST BRIGADES OF ABU BAKR AL-SIDDIQ,0,TP4453,G2601,0,0,0,0,,2003,2010,2004,2006,,2010,,IRQ,IRQ,IRQ,,,MIDDLE EAST & NORTH AFRICA,645
T2,ABU HAFS AL-MASRI BRIGADES,1,TP3903,G2256,0,0,0,0,,2003,2011,2003,2003,,2005,,ESP,"ESP, GBR","IRQ, ESP, GBR",,,WESTERN EUROPE,230
T2,ABU HAFS AL MASRI BRIGADE,0,TP3903,G2256,0,0,0,0,,2003,2011,2003,2003,,2005,,ESP,"ESP, GBR","IRQ, ESP, GBR",,,WESTERN EUROPE,230
T2,ABU HAFS AL-MASRI BRIGADE,0,TP3903,G2256,0,0,0,0,,2003,2011,2003,2003,,2005,,ESP,"ESP, GBR","IRQ, ESP, GBR",,,WESTERN EUROPE,230
T3,ABU NIDAL ORGANIZATION (ANO),1,TP1,G5,0,U1687,M6600301,M66003,PALESTINIANS,1974,1998,1974,1976,1990,1998,1990,LBN,"IRQ, LBY, SYR","LBN, FRA, PAK, JOR, ITA, ISR, GRC, AUT, SYR, ESP, GBR, PRT, ARE, NLD, PSE, DZA, EGY, IRQ",LBN,LBN,MIDDLE EAST & NORTH AFRICA,660
T3,ARAB REVOLUTIONARY BRIGADES,0,TP1,G5,0,U1687,M6600301,M66003,PALESTINIANS,1974,1998,1974,1976,1990,1998,1990,LBN,"IRQ, LBY, SYR","LBN, FRA, PAK, JOR, ITA, ISR, GRC, AUT, SYR, ESP, GBR, PRT, ARE, NLD, PSE, DZA, EGY, IRQ",LBN,LBN,MIDDLE EAST & NORTH AFRICA,660
T3,ARAB REVOLUTIONARY COUNCIL,0,TP1,G5,0,U1687,M6600301,M66003,PALESTINIANS,1974,1998,1974,1976,1990,1998,1990,LBN,"IRQ, LBY, SYR","LBN, FRA, PAK, JOR, ITA, ISR, GRC, AUT, SYR, ESP, GBR, PRT, ARE, NLD, PSE, DZA, EGY, IRQ",LBN,LBN,MIDDLE EAST & NORTH AFRICA,660
T3,FATAH AL-MAJLIS AL-THAWRI,0,TP1,G5,0,U1687,M6600301,M66003,PALESTINIANS,1974,1998,1974,1976,1990,1998,1990,LBN,"IRQ, LBY, SYR","LBN, FRA, PAK, JOR, ITA, ISR, GRC, AUT, SYR, ESP, GBR, PRT, ARE, NLD, PSE, DZA, EGY, IRQ",LBN,LBN,MIDDLE EAST & NORTH AFRICA,660
T3,FATAH AL-QIYADAH AL-THAWRIYYAH,0,TP1,G5,0,U1687,M6600301,M66003,PALESTINIANS,1974,1998,1974,1976,1990,1998,1990,LBN,"IRQ, LBY, SYR","LBN, FRA, PAK, JOR, ITA, ISR, GRC, AUT, SYR, ESP, GBR, PRT, ARE, NLD, PSE, DZA, EGY, IRQ",LBN,LBN,MIDDLE EAST & NORTH AFRICA,660
T3,FATAH REVOLUTIONARY COUNCIL,0,TP1,G5,0,U1687,M6600301,M66003,PALESTINIANS,1974,1998,1974,1976,1990,1998,1990,LBN,"IRQ, LBY, SYR","LBN, FRA, PAK, JOR, ITA, ISR, GRC, AUT, SYR, ESP, GBR, PRT, ARE, NLD, PSE, DZA, EGY, IRQ",LBN,LBN,MIDDLE EAST & NORTH AFRICA,660
