"TORG","GROUP","PRIMARY"
"T1","SALAFI ABU-BAKR AL-SIDDIQ ARMY",1
"T1","ABU BAKR AL-SIDDIQ BRIGADES",0
"T1","ABU BAKR AL-SIDDIQ FUNDAMENTALIST BRIGADES",0
"T1","ABU BAKR AL-SIDDIQ FUNDAMENTALIST BRIGADES (ABSB)",0
"T1","SALAFIST BRIGADES OF ABU BAKR AL-SIDDIQ",0
"T2","ABU HAFS AL-MASRI BRIGADES",1
"T2","ABU HAFS AL MASRI BRIGADE",0
"T2","ABU HAFS AL-MASRI BRIGADE",0
"T3","ABU NIDAL ORGANIZATION (ANO)",1
"T3","ARAB REVOLUTIONARY BRIGADES",0
"T3","ARAB REVOLUTIONARY COUNCIL",0
"T3","FATAH AL-MAJLIS AL-THAWRI",0
"T3","FATAH AL-QIYADAH AL-THAWRIYYAH",0
"T3","FATAH REVOLUTIONARY COUNCIL",0
"T3","FATAH REVOLUTIONARY COUNCIL (FRC/ANO)",0
"T3","FRC/ANO",0
"T3","REVOLUTIONARY ORGANIZATION OF SOCIALIST MUSLIMS",0
"T4","ABU SAYYAF GROUP (ASG)",1
"T4","ABU SAYYAF GROUP",0
"T4","AL-HARAKAT AL-ISLAMIYAH",0
"T4","BEARER OF THE SWORD",0
"T5","RESISTENZA CORSA",1
"T5","ACCOLTA NAZINUALE CORSA",0
"T6","COMITE D'ACTION VITICOLE",1
"T6","ACTION COMMITTEE OF WINEGROWERS",0
"T6","COMITE D'ACTION VITICOLE (CAV)",0
"T6","WINEGROWERS ACTION COMMITTEE",0
"T7","ACTION DIRECTE",1
"T8","ADAN ABYAN ISLAMIC ARMY (AAIA)",1
"T8","ADEN ABYAN ISLAMIC ARMY",0
"T8","ADEN ABYAN ISLAMIC ARMY (AAIA)",0
"T8","ADEN ISLAMIC ARMY",0
"T8","ARMY OF MOHAMMED AND THE JAISH ADAN AL ISLAMI",0
"T8","ISLAMIC ADEN ARMY",0
